,CO_ANO,CO_MES,Nome_UF,Nome_Município,SH4,CO_PAIS,KG_LIQUIDO,VL_FOB,NO_PAIS
16607,1998,8,Alagoas,Maceió,2815,249,7359046,1145288,Estados Unidos
16610,1998,11,Alagoas,Maceió,2815,63,6194360,1045322,Argentina
16611,1998,10,Alagoas,Maceió,7602,249,130000,98334,Estados Unidos
16629,1998,12,Alagoas,Maceió,2903,399,15010096,1110747,Japão
16684,1998,10,Alagoas,Maceió,9503,399,58,216,Japão
16687,1998,3,Alagoas,Pilar,9998,990,92606,19493,Provisão de Navios e Aeronaves
16690,1998,3,Alagoas,Maceió,1701,607,10150000,4085071,Portugal
16698,1998,11,Alagoas,Maceió,3303,399,2452,28979,Japão
16734,1998,12,Alagoas,Maceió,1701,111,13000000,2316470,Bulgária
16757,1998,1,Alagoas,Marechal Deodoro,3904,845,1067500,716350,Uruguai
16777,1998,6,Alagoas,Maceió,2903,399,12590518,1154676,Japão
17010,1998,5,Alagoas,Maceió,2815,249,5504936,813354,Estados Unidos
17053,1998,5,Alagoas,Rio Largo,9998,990,25553,9030,Provisão de Navios e Aeronaves
17174,1998,4,Alagoas,Maceió,6802,245,698890,76950,Espanha
17230,1998,1,Alagoas,Maceió,1701,780,3000000,825000,Tanzânia
17234,1998,3,Alagoas,Pilar,9998,628,12471,2575,Reino Unido
17322,1998,10,Alagoas,Maceió,2903,399,14986712,1124003,Japão
17426,1998,6,Alagoas,Lagoa da Canoa,2401,245,475000,1045000,Espanha
17439,1998,1,Alagoas,Maceió,306,249,5769,174860,Estados Unidos
17654,1998,2,Alagoas,Maceió,1701,744,14000000,4054400,Síria
17706,1998,9,Alagoas,Maceió,7602,249,78200,64222,Estados Unidos
17742,1998,4,Alagoas,Pilar,9998,232,24952,5028,Dinamarca
17839,1998,5,Alagoas,Maceió,306,249,8172,231440,Estados Unidos
17854,1998,5,Alagoas,Maceió,2007,607,1122,1870,Portugal
17928,1998,5,Alagoas,Maceió,1701,249,959980,401896,Estados Unidos
17930,1998,5,Alagoas,Maceió,3401,399,33,389,Japão
17963,1998,6,Alagoas,Arapiraca,2401,245,1898664,3374403,Espanha
18131,1998,11,Alagoas,Maceió,2007,63,984,2395,Argentina
18211,1998,1,Alagoas,União dos Palmares,1701,249,14496280,6229597,Estados Unidos
18241,1998,4,Alagoas,Porto Calvo,1701,249,1058580,441851,Estados Unidos
18302,1998,12,Alagoas,São Luís do Quitunde,1701,676,3000000,532410,Rússia
